year,month,area,uf,className,numPol
2015/2016,8,8.82,AC,CORTE_SELETIVO,3
2015/2016,8,9.71,AC,CS_DESORDENADO,1
2015/2016,8,4.1,AC,DEGRADACAO,18
2015/2016,8,25.12,AC,DESMATAMENTO_CR,261
2015/2016,8,1.82,AC,DESMATAMENTO_VEG,16
2015/2016,8,418.4,AM,CORTE_SELETIVO,51
2015/2016,8,24.9,AM,DEGRADACAO,67
2015/2016,8,73.58,AM,DESMATAMENTO_CR,488
2015/2016,8,3.28,AM,DESMATAMENTO_VEG,32
2015/2016,8,1.94,AM,MINERACAO,15
2015/2016,8,0.08,MA,CORTE_SELETIVO,1
2015/2016,8,7.55,MA,DEGRADACAO,12
2015/2016,8,5.35,MA,DESMATAMENTO_CR,29
2015/2016,8,0.6,MA,DESMATAMENTO_VEG,6
2015/2016,8,0.41,MT,CICATRIZ_DE_QUEIMADA,1
2015/2016,8,1555.67,MT,CORTE_SELETIVO,288
2015/2016,8,2765.22,MT,DEGRADACAO,964
2015/2016,8,133.42,MT,DESMATAMENTO_CR,574
2015/2016,8,7.74,MT,DESMATAMENTO_VEG,15
2015/2016,8,0.2,MT,MINERACAO,2
2015/2016,8,646.2,PA,CORTE_SELETIVO,142
2015/2016,8,300.09,PA,DEGRADACAO,412
2015/2016,8,206.52,PA,DESMATAMENTO_CR,1079
2015/2016,8,23.3,PA,DESMATAMENTO_VEG,127
2015/2016,8,11.88,PA,MINERACAO,101
2015/2016,8,220.82,RO,CORTE_SELETIVO,72
2015/2016,8,65.85,RO,DEGRADACAO,170
2015/2016,8,82.9,RO,DESMATAMENTO_CR,582
2015/2016,8,1.2,RO,DESMATAMENTO_VEG,10
2015/2016,8,0.11,RO,MINERACAO,1
2015/2016,8,20.67,RR,CORTE_SELETIVO,5
2015/2016,8,35.56,RR,DEGRADACAO,64
2015/2016,8,7.12,RR,DESMATAMENTO_CR,52
2015/2016,8,3.04,RR,DESMATAMENTO_VEG,20
2015/2016,8,5.15,TO,DEGRADACAO,3
2015/2016,8,2.62,TO,DESMATAMENTO_CR,12
2015/2016,8,0.41,TO,DESMATAMENTO_VEG,1
2015/2016,9,7.18,AC,CORTE_SELETIVO,4
2015/2016,9,13.24,AC,DEGRADACAO,45
2015/2016,9,22.25,AC,DESMATAMENTO_CR,227
2015/2016,9,0.07,AC,DESMATAMENTO_VEG,1
2015/2016,9,38.81,AM,CORTE_SELETIVO,35
2015/2016,9,31.3,AM,DEGRADACAO,109
2015/2016,9,64.9,AM,DESMATAMENTO_CR,441
2015/2016,9,0.81,AM,DESMATAMENTO_VEG,6
2015/2016,9,0.11,AM,MINERACAO,1
2015/2016,9,0.34,MA,CORTE_SELETIVO,2
2015/2016,9,39.85,MA,DEGRADACAO,34
2015/2016,9,3.83,MA,DESMATAMENTO_CR,22
2015/2016,9,888.12,MT,CORTE_SELETIVO,335
2015/2016,9,1813.76,MT,DEGRADACAO,1779
2015/2016,9,134.82,MT,DESMATAMENTO_CR,662
2015/2016,9,0.15,MT,DESMATAMENTO_VEG,1
2015/2016,9,0.26,MT,MINERACAO,3
2015/2016,9,0.11,PA,CICATRIZ_DE_QUEIMADA,1
2015/2016,9,90.95,PA,CORTE_SELETIVO,25
2015/2016,9,541.04,PA,DEGRADACAO,1227
2015/2016,9,167.66,PA,DESMATAMENTO_CR,970
2015/2016,9,1.68,PA,DESMATAMENTO_VEG,12
2015/2016,9,2.84,PA,MINERACAO,32
2015/2016,9,37.52,RO,CORTE_SELETIVO,37
2015/2016,9,87.75,RO,DEGRADACAO,181
2015/2016,9,77.46,RO,DESMATAMENTO_CR,499
2015/2016,9,2.03,RO,DESMATAMENTO_VEG,8
2015/2016,9,4.79,RR,CORTE_SELETIVO,2
2015/2016,9,159.82,RR,DEGRADACAO,186
2015/2016,9,12.04,RR,DESMATAMENTO_CR,99
2015/2016,9,2.45,RR,DESMATAMENTO_VEG,20
2015/2016,9,9.36,TO,CORTE_SELETIVO,1
2015/2016,9,141.3,TO,DEGRADACAO,7
2015/2016,9,3.97,TO,DESMATAMENTO_CR,10
2015/2016,10,4.38,AC,CORTE_SELETIVO,4
2015/2016,10,2.91,AC,DEGRADACAO,29
2015/2016,10,21.28,AC,DESMATAMENTO_CR,192
2015/2016,10,0.94,AC,DESMATAMENTO_VEG,9
2015/2016,10,154.28,AM,CORTE_SELETIVO,58
2015/2016,10,92.7,AM,DEGRADACAO,160
2015/2016,10,58.92,AM,DESMATAMENTO_CR,298
2015/2016,10,1.15,AM,DESMATAMENTO_VEG,6
2015/2016,10,47.34,MA,DEGRADACAO,72
2015/2016,10,1.74,MA,DESMATAMENTO_CR,8
2015/2016,10,429.52,MT,CORTE_SELETIVO,243
2015/2016,10,993.31,MT,DEGRADACAO,1265
2015/2016,10,141.7,MT,DESMATAMENTO_CR,641
2015/2016,10,0.43,MT,DESMATAMENTO_VEG,5
2015/2016,10,0.16,PA,CICATRIZ_DE_QUEIMADA,2
2015/2016,10,160.62,PA,CORTE_SELETIVO,76
2015/2016,10,426.03,PA,DEGRADACAO,920
2015/2016,10,144.43,PA,DESMATAMENTO_CR,833
2015/2016,10,0.55,PA,DESMATAMENTO_VEG,5
2015/2016,10,0.29,PA,MINERACAO,4
2015/2016,10,85.51,RO,CORTE_SELETIVO,74
2015/2016,10,221.67,RO,DEGRADACAO,353
2015/2016,10,155.7,RO,DESMATAMENTO_CR,820
2015/2016,10,1.1,RO,DESMATAMENTO_VEG,9
2015/2016,10,12.92,RR,CORTE_SELETIVO,22
2015/2016,10,27.27,RR,DEGRADACAO,53
2015/2016,10,7.86,RR,DESMATAMENTO_CR,54
2015/2016,10,0.31,RR,DESMATAMENTO_VEG,2
2015/2016,11,3.85,AC,CORTE_SELETIVO,2
2015/2016,11,1.97,AC,DEGRADACAO,11
2015/2016,11,11.52,AC,DESMATAMENTO_CR,108
2015/2016,11,1.97,AC,DESMATAMENTO_VEG,20
2015/2016,11,13.98,AM,CORTE_SELETIVO,5
2015/2016,11,21.65,AM,DEGRADACAO,63
2015/2016,11,40.64,AM,DESMATAMENTO_CR,185
2015/2016,11,0.46,AM,DESMATAMENTO_VEG,4
2015/2016,11,71.4,MA,DEGRADACAO,154
2015/2016,11,10.96,MA,DESMATAMENTO_CR,33
2015/2016,11,1.49,MA,DESMATAMENTO_VEG,5
2015/2016,11,0.07,MT,CICATRIZ_DE_QUEIMADA,1
2015/2016,11,37.57,MT,CORTE_SELETIVO,31
2015/2016,11,311.91,MT,DEGRADACAO,394
2015/2016,11,67.14,MT,DESMATAMENTO_CR,233
2015/2016,11,3.4,MT,DESMATAMENTO_VEG,13
2015/2016,11,72.75,PA,CORTE_SELETIVO,21
2015/2016,11,314.22,PA,DEGRADACAO,451
2015/2016,11,75.65,PA,DESMATAMENTO_CR,433
2015/2016,11,1.09,PA,DESMATAMENTO_VEG,5
2015/2016,11,0.36,PA,MINERACAO,5
2015/2016,11,52.14,RO,CORTE_SELETIVO,25
2015/2016,11,102.49,RO,DEGRADACAO,182
2015/2016,11,77.69,RO,DESMATAMENTO_CR,484
2015/2016,11,1.63,RO,DESMATAMENTO_VEG,13
2015/2016,11,5.46,RR,CORTE_SELETIVO,8
2015/2016,11,8.89,RR,DEGRADACAO,25
2015/2016,11,8.65,RR,DESMATAMENTO_CR,66
2015/2016,11,0.08,RR,DESMATAMENTO_VEG,1
2015/2016,12,0.91,AC,DEGRADACAO,7
2015/2016,12,6.12,AC,DESMATAMENTO_CR,59
2015/2016,12,2.02,AC,DESMATAMENTO_VEG,21
2015/2016,12,13.26,AM,DEGRADACAO,44
2015/2016,12,18.79,AM,DESMATAMENTO_CR,83
2015/2016,12,24.13,MA,DEGRADACAO,70
2015/2016,12,1.34,MA,DESMATAMENTO_CR,4
2015/2016,12,12.49,MT,CORTE_SELETIVO,24
2015/2016,12,240.77,MT,DEGRADACAO,409
2015/2016,12,72.97,MT,DESMATAMENTO_CR,219
2015/2016,12,14.68,MT,DESMATAMENTO_VEG,9
2015/2016,12,10.65,PA,CORTE_SELETIVO,11
2015/2016,12,599.86,PA,DEGRADACAO,543
2015/2016,12,133.31,PA,DESMATAMENTO_CR,647
2015/2016,12,2.67,PA,DESMATAMENTO_VEG,9
2015/2016,12,1.97,RO,DEGRADACAO,10
2015/2016,12,13.1,RO,DESMATAMENTO_CR,80
2015/2016,12,0.15,RO,DESMATAMENTO_VEG,1
2015/2016,12,0.39,RR,CORTE_SELETIVO,3
2015/2016,12,0.5,RR,DEGRADACAO,3
2015/2016,12,1.15,RR,DESMATAMENTO_CR,5
2015/2016,1,12.76,AC,DEGRADACAO,17
2015/2016,1,6.77,AC,DESMATAMENTO_CR,53
2015/2016,1,5.02,AC,DESMATAMENTO_VEG,51
2015/2016,1,0.11,AM,CICATRIZ_DE_QUEIMADA,1
2015/2016,1,0.67,AM,CS_GEOMETRICO,1
2015/2016,1,38.41,AM,DEGRADACAO,66
2015/2016,1,22.07,AM,DESMATAMENTO_CR,136
2015/2016,1,1.76,AM,DESMATAMENTO_VEG,18
2015/2016,1,0.22,AP,DEGRADACAO,2
2015/2016,1,14.39,MA,CICATRIZ_DE_QUEIMADA,21
2015/2016,1,38.1,MA,DEGRADACAO,26
2015/2016,1,1.32,MA,DESMATAMENTO_CR,6
2015/2016,1,3.08,MT,DEGRADACAO,14
2015/2016,1,9.56,MT,DESMATAMENTO_CR,40
2015/2016,1,0.18,MT,DESMATAMENTO_VEG,2
2015/2016,1,1527.44,PA,CICATRIZ_DE_QUEIMADA,155
2015/2016,1,352.13,PA,DEGRADACAO,514
2015/2016,1,95.36,PA,DESMATAMENTO_CR,644
2015/2016,1,1.01,RO,CICATRIZ_DE_QUEIMADA,1
2015/2016,1,0.16,RO,CS_GEOMETRICO,2
2015/2016,1,15.12,RO,DEGRADACAO,88
2015/2016,1,71.56,RO,DESMATAMENTO_CR,516
2015/2016,1,3.05,RO,DESMATAMENTO_VEG,22
2015/2016,1,9.14,RR,DEGRADACAO,28
2015/2016,1,10.9,RR,DESMATAMENTO_CR,77
2015/2016,1,0.12,RR,DESMATAMENTO_VEG,1
2015/2016,1,0.27,TO,DEGRADACAO,3
2015/2016,1,1.39,TO,DESMATAMENTO_CR,7
2015/2016,2,0.2,AC,DESMATAMENTO_CR,2
2015/2016,2,0.48,AC,DESMATAMENTO_VEG,5
2015/2016,2,0.08,AM,CS_GEOMETRICO,1
2015/2016,2,4.37,AM,DEGRADACAO,11
2015/2016,2,14.84,AM,DESMATAMENTO_CR,62
2015/2016,2,0.83,AM,DESMATAMENTO_VEG,5
2015/2016,2,18.53,MA,CICATRIZ_DE_QUEIMADA,34
2015/2016,2,4.76,MA,DEGRADACAO,8
2015/2016,2,4.21,MA,DESMATAMENTO_CR,12
2015/2016,2,94.05,MT,CICATRIZ_DE_QUEIMADA,86
2015/2016,2,5.25,MT,CS_GEOMETRICO,7
2015/2016,2,111.54,MT,DEGRADACAO,183
2015/2016,2,46.59,MT,DESMATAMENTO_CR,208
2015/2016,2,18.74,MT,DESMATAMENTO_VEG,16
2015/2016,2,3.27,PA,CICATRIZ_DE_QUEIMADA,2
2015/2016,2,47.11,PA,DEGRADACAO,57
2015/2016,2,7.65,PA,DESMATAMENTO_CR,41
2015/2016,2,5.48,PA,DESMATAMENTO_VEG,7
2015/2016,2,7.22,RO,DEGRADACAO,39
2015/2016,2,10.99,RO,DESMATAMENTO_CR,68
2015/2016,2,1.63,RO,DESMATAMENTO_VEG,7
2015/2016,2,9.17,TO,CICATRIZ_DE_QUEIMADA,3
2015/2016,2,107.57,TO,DEGRADACAO,33
2015/2016,2,3.36,TO,DESMATAMENTO_CR,16
2015/2016,3,0.12,AC,DEGRADACAO,1
2015/2016,3,0.12,AC,DESMATAMENTO_CR,1
2015/2016,3,31.28,AM,CICATRIZ_DE_QUEIMADA,24
2015/2016,3,2.01,AM,CS_DESORDENADO,1
2015/2016,3,91.07,AM,DEGRADACAO,125
2015/2016,3,26.72,AM,DESMATAMENTO_CR,147
2015/2016,3,0.46,AM,DESMATAMENTO_VEG,5
2015/2016,3,0.38,MA,DESMATAMENTO_CR,1
2015/2016,3,15.45,MT,CICATRIZ_DE_QUEIMADA,14
2015/2016,3,4.99,MT,CS_GEOMETRICO,3
2015/2016,3,119.43,MT,DEGRADACAO,182
2015/2016,3,114.52,MT,DESMATAMENTO_CR,422
2015/2016,3,13.26,MT,DESMATAMENTO_VEG,23
2015/2016,3,0.07,MT,MINERACAO,1
2015/2016,3,18.45,PA,DEGRADACAO,39
2015/2016,3,10.33,PA,DESMATAMENTO_CR,43
2015/2016,3,4.13,PA,DESMATAMENTO_VEG,8
2015/2016,3,1.83,PA,MINERACAO,16
2015/2016,3,0.07,RO,CICATRIZ_DE_QUEIMADA,1
2015/2016,3,60.49,RO,DEGRADACAO,111
2015/2016,3,43.88,RO,DESMATAMENTO_CR,239
2015/2016,3,1.96,RO,DESMATAMENTO_VEG,14
2015/2016,3,226.96,RR,CICATRIZ_DE_QUEIMADA,140
2015/2016,3,899.79,RR,DEGRADACAO,426
2015/2016,3,80.84,RR,DESMATAMENTO_CR,353
2015/2016,3,2.6,TO,DEGRADACAO,7
2015/2016,3,1.62,TO,DESMATAMENTO_CR,9
2015/2016,4,1.22,AC,DESMATAMENTO_CR,6
2015/2016,4,0.26,AC,DESMATAMENTO_VEG,3
2015/2016,4,0.94,AM,DEGRADACAO,6
2015/2016,4,59.53,AM,DESMATAMENTO_CR,131
2015/2016,4,1.56,AM,DESMATAMENTO_VEG,6
2015/2016,4,3.09,MA,CICATRIZ_DE_QUEIMADA,7
2015/2016,4,20.06,MA,DEGRADACAO,26
2015/2016,4,14.48,MA,DESMATAMENTO_CR,35
2015/2016,4,1.12,MT,CICATRIZ_DE_QUEIMADA,3
2015/2016,4,5.12,MT,CS_DESORDENADO,2
2015/2016,4,13.32,MT,CS_GEOMETRICO,6
2015/2016,4,52.19,MT,DEGRADACAO,79
2015/2016,4,116.07,MT,DESMATAMENTO_CR,344
2015/2016,4,13.66,MT,DESMATAMENTO_VEG,19
2015/2016,4,10.65,PA,CS_GEOMETRICO,1
2015/2016,4,58.21,PA,DEGRADACAO,61
2015/2016,4,90.44,PA,DESMATAMENTO_CR,154
2015/2016,4,35.36,PA,DESMATAMENTO_VEG,28
2015/2016,4,7.38,PA,MINERACAO,60
2015/2016,4,3.27,RO,CS_DESORDENADO,2
2015/2016,4,2.2,RO,CS_GEOMETRICO,1
2015/2016,4,11.02,RO,DEGRADACAO,30
2015/2016,4,66.95,RO,DESMATAMENTO_CR,279
2015/2016,4,5.73,RO,DESMATAMENTO_VEG,27
2015/2016,4,75.93,RR,DEGRADACAO,111
2015/2016,4,20.05,RR,DESMATAMENTO_CR,49
2015/2016,4,0.97,TO,DEGRADACAO,1
2015/2016,4,7.02,TO,DESMATAMENTO_CR,23
2015/2016,4,0.23,TO,DESMATAMENTO_VEG,2
2015/2016,5,0.35,AC,DEGRADACAO,4
2015/2016,5,0.34,AC,DESMATAMENTO_CR,3
2015/2016,5,0.58,AC,DESMATAMENTO_VEG,7
2015/2016,5,3.89,AM,CICATRIZ_DE_QUEIMADA,3
2015/2016,5,1.18,AM,CS_DESORDENADO,1
2015/2016,5,13.39,AM,DEGRADACAO,39
2015/2016,5,82.54,AM,DESMATAMENTO_CR,241
2015/2016,5,1.93,AM,DESMATAMENTO_VEG,15
2015/2016,5,0.57,MA,DEGRADACAO,1
2015/2016,5,6.75,MA,DESMATAMENTO_CR,17
2015/2016,5,0.87,MT,CICATRIZ_DE_QUEIMADA,1
2015/2016,5,2.65,MT,CS_DESORDENADO,1
2015/2016,5,11.78,MT,CS_GEOMETRICO,4
2015/2016,5,52.77,MT,DEGRADACAO,63
2015/2016,5,83.95,MT,DESMATAMENTO_CR,246
2015/2016,5,11.45,MT,DESMATAMENTO_VEG,20
2015/2016,5,0.4,MT,MINERACAO,2
2015/2016,5,50.17,PA,CICATRIZ_DE_QUEIMADA,32
2015/2016,5,1.23,PA,CS_DESORDENADO,1
2015/2016,5,1435.2,PA,DEGRADACAO,676
2015/2016,5,98.39,PA,DESMATAMENTO_CR,339
2015/2016,5,28.01,PA,DESMATAMENTO_VEG,83
2015/2016,5,3.59,PA,MINERACAO,31
2015/2016,5,0.24,RO,CS_GEOMETRICO,1
2015/2016,5,14.22,RO,DEGRADACAO,42
2015/2016,5,82.02,RO,DESMATAMENTO_CR,405
2015/2016,5,3.95,RO,DESMATAMENTO_VEG,23
2015/2016,5,0.1,RO,MINERACAO,1
2015/2016,5,0.62,RR,DEGRADACAO,1
2015/2016,5,0.95,RR,DESMATAMENTO_CR,1
2015/2016,5,0.24,TO,CICATRIZ_DE_QUEIMADA,1
2015/2016,5,0.74,TO,DEGRADACAO,3
2015/2016,5,3.25,TO,DESMATAMENTO_CR,8
2015/2016,6,2.12,AC,DEGRADACAO,11
2015/2016,6,8.27,AC,DESMATAMENTO_CR,52
2015/2016,6,0.33,AC,DESMATAMENTO_VEG,3
2015/2016,6,9.86,AM,CICATRIZ_DE_QUEIMADA,9
2015/2016,6,6.23,AM,CS_DESORDENADO,2
2015/2016,6,185.25,AM,DEGRADACAO,198
2015/2016,6,228.62,AM,DESMATAMENTO_CR,667
2015/2016,6,4.85,AM,DESMATAMENTO_VEG,34
2015/2016,6,0.16,AM,MINERACAO,2
2015/2016,6,0.23,MA,DEGRADACAO,2
2015/2016,6,1.04,MA,DESMATAMENTO_CR,3
2015/2016,6,5.58,MT,CICATRIZ_DE_QUEIMADA,3
2015/2016,6,30.01,MT,CS_DESORDENADO,9
2015/2016,6,63.64,MT,CS_GEOMETRICO,26
2015/2016,6,89.78,MT,DEGRADACAO,134
2015/2016,6,167,MT,DESMATAMENTO_CR,502
2015/2016,6,5.39,MT,DESMATAMENTO_VEG,28
2015/2016,6,0.96,MT,MINERACAO,8
2015/2016,6,133.87,PA,CICATRIZ_DE_QUEIMADA,87
2015/2016,6,1.82,PA,CS_DESORDENADO,1
2015/2016,6,39.77,PA,CS_GEOMETRICO,7
2015/2016,6,5103.69,PA,DEGRADACAO,1102
2015/2016,6,240.05,PA,DESMATAMENTO_CR,750
2015/2016,6,132.55,PA,DESMATAMENTO_VEG,356
2015/2016,6,10.86,PA,MINERACAO,92
2015/2016,6,0.4,RO,CICATRIZ_DE_QUEIMADA,1
2015/2016,6,1.7,RO,CS_GEOMETRICO,1
2015/2016,6,19.54,RO,DEGRADACAO,91
2015/2016,6,126.13,RO,DESMATAMENTO_CR,587
2015/2016,6,4.8,RO,DESMATAMENTO_VEG,27
2015/2016,6,0.16,RO,MINERACAO,2
2015/2016,6,27.96,RR,CICATRIZ_DE_QUEIMADA,28
2015/2016,6,2.71,RR,CS_DESORDENADO,1
2015/2016,6,117.18,RR,DEGRADACAO,72
2015/2016,6,4.21,RR,DESMATAMENTO_CR,29
2015/2016,6,0.12,RR,DESMATAMENTO_VEG,1
2015/2016,6,0.15,TO,CICATRIZ_DE_QUEIMADA,1
2015/2016,6,10.52,TO,DEGRADACAO,9
2015/2016,6,5.72,TO,DESMATAMENTO_CR,21
2015/2016,6,10.07,TO,DESMATAMENTO_VEG,1
2015/2016,7,20.66,AC,CS_DESORDENADO,5
2015/2016,7,2.02,AC,DEGRADACAO,13
2015/2016,7,27.07,AC,DESMATAMENTO_CR,223
2015/2016,7,3.13,AM,CICATRIZ_DE_QUEIMADA,4
2015/2016,7,39.67,AM,CS_DESORDENADO,9
2015/2016,7,12.04,AM,CS_GEOMETRICO,3
2015/2016,7,39.24,AM,DEGRADACAO,95
2015/2016,7,216.17,AM,DESMATAMENTO_CR,748
2015/2016,7,1.22,AM,DESMATAMENTO_VEG,8
2015/2016,7,273.7,MA,CICATRIZ_DE_QUEIMADA,85
2015/2016,7,643.79,MA,DEGRADACAO,75
2015/2016,7,26.82,MA,DESMATAMENTO_CR,101
2015/2016,7,2.83,MA,DESMATAMENTO_VEG,10
